feature,importance
Glucose,0.5509040239007433
BMI,0.2163370827914959
Age,0.0893776924939044
Insulin,0.05357493123426786
Pregnancies,0.044048469785015386
DiabetesPedigreeFunction,0.026969511628070788
SkinThickness,0.0187882881665023
BloodPressure,0.0
