feature,importance
Glucose,5.8430681228637695
Age,2.929574728012085
BMI,2.7345542907714844
Insulin,1.7443406581878662
SkinThickness,1.623374104499817
DiabetesPedigreeFunction,1.5763942003250122
BloodPressure,1.5155521631240845
Pregnancies,1.3857512474060059
