feature,importance
Glucose,35.782649993896484
Insulin,29.99674415588379
BMI,26.48081398010254
Age,26.287675857543945
Pregnancies,23.312002182006836
BloodPressure,20.140172958374023
SkinThickness,19.412397384643555
DiabetesPedigreeFunction,18.819604873657227
