feature,importance,std
Glucose,0.3026801454216102,0.08826005687963034
BMI,0.17036321228383286,0.05580131570169535
DiabetesPedigreeFunction,0.11682024864165419,0.039712522001241715
Age,0.11677716718540605,0.04735122337292612
Insulin,0.08618764401851708,0.04606936691054558
BloodPressure,0.07525704877347814,0.027819696000109733
Pregnancies,0.07413103514257285,0.03806049269615478
SkinThickness,0.05778349853292855,0.0312521554955571
